initial_failure,total_cascade_failures,cascaded,all_failed_lines
0,4,True,"[0, 9, 39, 40]"
1,4,True,"[1, 9, 39, 40]"
2,4,True,"[2, 9, 39, 40]"
3,4,True,"[3, 9, 39, 40]"
4,4,True,"[4, 9, 39, 40]"
5,5,True,"[5, 9, 28, 39, 40]"
6,4,True,"[6, 9, 28, 39]"
7,4,True,"[7, 9, 39, 40]"
8,4,True,"[8, 9, 39, 40]"
9,3,True,"[9, 39, 40]"
10,4,True,"[10, 9, 39, 40]"
11,4,True,"[11, 9, 39, 40]"
12,4,True,"[12, 9, 39, 40]"
13,4,True,"[13, 9, 39, 40]"
14,4,True,"[14, 9, 39, 40]"
15,8,True,"[15, 9, 29, 28, 30, 31, 39, 40]"
16,4,True,"[16, 9, 39, 40]"
17,4,True,"[17, 9, 39, 40]"
18,4,True,"[18, 9, 39, 40]"
19,4,True,"[19, 9, 39, 40]"
20,4,True,"[20, 9, 39, 40]"
21,5,True,"[21, 9, 28, 39, 40]"
22,4,True,"[22, 9, 39, 40]"
23,4,True,"[23, 9, 39, 40]"
24,5,True,"[24, 9, 21, 39, 40]"
25,4,True,"[25, 9, 39, 40]"
26,4,True,"[26, 9, 39, 40]"
27,9,True,"[27, 9, 28, 21, 29, 30, 39, 31, 34]"
28,4,True,"[28, 9, 39, 40]"
29,6,True,"[29, 9, 28, 31, 39, 40]"
30,5,True,"[30, 9, 39, 40, 29]"
31,5,True,"[31, 9, 29, 39, 40]"
32,4,True,"[32, 9, 39, 40]"
33,4,True,"[33, 9, 39, 40]"
34,3,True,"[34, 9, 39]"
35,5,True,"[35, 9, 28, 39, 40]"
36,4,True,"[36, 9, 39, 40]"
37,4,True,"[37, 9, 39, 40]"
38,4,True,"[38, 9, 39, 40]"
39,2,True,"[39, 9]"
40,8,True,"[40, 9, 30, 31, 32, 34, 39, 29]"
