line_pair,total_cascade_failures,status
"(0, 1)",2,CONTAINED
"(0, 2)",5,CONTAINED
"(0, 3)",2,CONTAINED
"(0, 4)",5,CONTAINED
"(0, 5)",6,CONTAINED
"(0, 6)",5,CONTAINED
"(0, 7)",5,CONTAINED
"(0, 8)",5,CONTAINED
"(0, 9)",4,CONTAINED
"(0, 10)",5,CONTAINED
"(0, 11)",5,CONTAINED
"(0, 12)",5,CONTAINED
"(0, 13)",5,CONTAINED
"(0, 14)",5,CONTAINED
"(0, 15)",10,CONTAINED
"(0, 16)",5,CONTAINED
"(0, 17)",5,CONTAINED
"(0, 18)",5,CONTAINED
"(0, 19)",5,CONTAINED
"(0, 20)",5,CONTAINED
"(0, 21)",6,CONTAINED
"(0, 22)",5,CONTAINED
"(0, 23)",5,CONTAINED
"(0, 24)",6,CONTAINED
"(0, 25)",5,CONTAINED
"(0, 26)",5,CONTAINED
"(0, 27)",11,CONTAINED
"(0, 28)",5,CONTAINED
"(0, 29)",7,CONTAINED
"(0, 30)",6,CONTAINED
"(0, 31)",6,CONTAINED
"(0, 32)",5,CONTAINED
"(0, 33)",5,CONTAINED
"(0, 34)",4,CONTAINED
"(0, 35)",6,CONTAINED
"(0, 36)",5,CONTAINED
"(0, 37)",5,CONTAINED
"(0, 38)",5,CONTAINED
"(0, 39)",3,CONTAINED
"(0, 40)",9,CONTAINED
"(1, 2)",6,CONTAINED
"(1, 3)",5,CONTAINED
"(1, 4)",6,CONTAINED
"(1, 5)",5,CONTAINED
"(1, 6)",5,CONTAINED
"(1, 7)",6,CONTAINED
"(1, 8)",5,CONTAINED
"(1, 9)",4,CONTAINED
"(1, 10)",5,CONTAINED
"(1, 11)",5,CONTAINED
"(1, 12)",5,CONTAINED
"(1, 13)",5,CONTAINED
"(1, 14)",5,CONTAINED
"(1, 15)",10,CONTAINED
"(1, 16)",5,CONTAINED
"(1, 17)",5,CONTAINED
"(1, 18)",6,CONTAINED
"(1, 19)",5,CONTAINED
"(1, 20)",5,CONTAINED
"(1, 21)",6,CONTAINED
"(1, 22)",6,CONTAINED
"(1, 23)",5,CONTAINED
"(1, 24)",6,CONTAINED
"(1, 25)",5,CONTAINED
"(1, 26)",5,CONTAINED
"(1, 27)",11,CONTAINED
"(1, 28)",5,CONTAINED
"(1, 29)",7,CONTAINED
"(1, 30)",6,CONTAINED
"(1, 31)",6,CONTAINED
"(1, 32)",4,CONTAINED
"(1, 33)",5,CONTAINED
"(1, 34)",4,CONTAINED
"(1, 35)",12,CONTAINED
"(1, 36)",5,CONTAINED
"(1, 37)",5,CONTAINED
"(1, 38)",5,CONTAINED
"(1, 39)",3,CONTAINED
"(1, 40)",9,CONTAINED
"(2, 3)",6,CONTAINED
"(2, 4)",6,CONTAINED
"(2, 5)",5,CONTAINED
"(2, 6)",5,CONTAINED
"(2, 7)",6,CONTAINED
"(2, 8)",5,CONTAINED
"(2, 9)",4,CONTAINED
"(2, 10)",5,CONTAINED
"(2, 11)",5,CONTAINED
"(2, 12)",5,CONTAINED
"(2, 13)",5,CONTAINED
"(2, 14)",5,CONTAINED
"(2, 15)",10,CONTAINED
"(2, 16)",5,CONTAINED
"(2, 17)",5,CONTAINED
"(2, 18)",6,CONTAINED
"(2, 19)",5,CONTAINED
"(2, 20)",5,CONTAINED
"(2, 21)",11,CONTAINED
"(2, 22)",6,CONTAINED
"(2, 23)",5,CONTAINED
"(2, 24)",6,CONTAINED
"(2, 25)",5,CONTAINED
"(2, 26)",5,CONTAINED
"(2, 27)",11,CONTAINED
"(2, 28)",5,CONTAINED
"(2, 29)",7,CONTAINED
"(2, 30)",6,CONTAINED
"(2, 31)",6,CONTAINED
"(2, 32)",4,CONTAINED
"(2, 33)",5,CONTAINED
"(2, 34)",4,CONTAINED
"(2, 35)",8,CONTAINED
"(2, 36)",5,CONTAINED
"(2, 37)",5,CONTAINED
"(2, 38)",5,CONTAINED
"(2, 39)",3,CONTAINED
"(2, 40)",9,CONTAINED
"(3, 4)",6,CONTAINED
"(3, 5)",5,CONTAINED
"(3, 6)",5,CONTAINED
"(3, 7)",6,CONTAINED
"(3, 8)",5,CONTAINED
"(3, 9)",4,CONTAINED
"(3, 10)",5,CONTAINED
"(3, 11)",5,CONTAINED
"(3, 12)",5,CONTAINED
"(3, 13)",5,CONTAINED
"(3, 14)",5,CONTAINED
"(3, 15)",10,CONTAINED
"(3, 16)",5,CONTAINED
"(3, 17)",5,CONTAINED
"(3, 18)",6,CONTAINED
"(3, 19)",5,CONTAINED
"(3, 20)",5,CONTAINED
"(3, 21)",6,CONTAINED
"(3, 22)",6,CONTAINED
"(3, 23)",5,CONTAINED
"(3, 24)",6,CONTAINED
"(3, 25)",5,CONTAINED
"(3, 26)",5,CONTAINED
"(3, 27)",11,CONTAINED
"(3, 28)",5,CONTAINED
"(3, 29)",7,CONTAINED
"(3, 30)",6,CONTAINED
"(3, 31)",6,CONTAINED
"(3, 32)",5,CONTAINED
"(3, 33)",5,CONTAINED
"(3, 34)",4,CONTAINED
"(3, 35)",12,CONTAINED
"(3, 36)",5,CONTAINED
"(3, 37)",5,CONTAINED
"(3, 38)",5,CONTAINED
"(3, 39)",3,CONTAINED
"(3, 40)",9,CONTAINED
"(4, 5)",5,CONTAINED
"(4, 6)",12,CONTAINED
"(4, 7)",5,CONTAINED
"(4, 8)",5,CONTAINED
"(4, 9)",4,CONTAINED
"(4, 10)",5,CONTAINED
"(4, 11)",5,CONTAINED
"(4, 12)",5,CONTAINED
"(4, 13)",5,CONTAINED
"(4, 14)",5,CONTAINED
"(4, 15)",10,CONTAINED
"(4, 16)",5,CONTAINED
"(4, 17)",5,CONTAINED
"(4, 18)",6,CONTAINED
"(4, 19)",5,CONTAINED
"(4, 20)",5,CONTAINED
"(4, 21)",11,CONTAINED
"(4, 22)",6,CONTAINED
"(4, 23)",5,CONTAINED
"(4, 24)",6,CONTAINED
"(4, 25)",5,CONTAINED
"(4, 26)",5,CONTAINED
"(4, 27)",11,CONTAINED
"(4, 28)",5,CONTAINED
"(4, 29)",7,CONTAINED
"(4, 30)",6,CONTAINED
"(4, 31)",6,CONTAINED
"(4, 32)",4,CONTAINED
"(4, 33)",5,CONTAINED
"(4, 34)",4,CONTAINED
"(4, 35)",13,CONTAINED
"(4, 36)",5,CONTAINED
"(4, 37)",5,CONTAINED
"(4, 38)",5,CONTAINED
"(4, 39)",3,CONTAINED
"(4, 40)",9,CONTAINED
"(5, 6)",12,BLACKOUT
"(5, 7)",12,CONTAINED
"(5, 8)",5,CONTAINED
"(5, 9)",5,CONTAINED
"(5, 10)",5,CONTAINED
"(5, 11)",5,CONTAINED
"(5, 12)",6,CONTAINED
"(5, 13)",5,CONTAINED
"(5, 14)",6,CONTAINED
"(5, 15)",10,CONTAINED
"(5, 16)",6,CONTAINED
"(5, 17)",5,CONTAINED
"(5, 18)",12,CONTAINED
"(5, 19)",6,CONTAINED
"(5, 20)",6,CONTAINED
"(5, 21)",11,CONTAINED
"(5, 22)",11,CONTAINED
"(5, 23)",5,CONTAINED
"(5, 24)",6,CONTAINED
"(5, 25)",5,CONTAINED
"(5, 26)",5,CONTAINED
"(5, 27)",11,CONTAINED
"(5, 28)",5,CONTAINED
"(5, 29)",7,CONTAINED
"(5, 30)",6,CONTAINED
"(5, 31)",7,CONTAINED
"(5, 32)",4,CONTAINED
"(5, 33)",5,CONTAINED
"(5, 34)",4,CONTAINED
"(5, 35)",8,CONTAINED
"(5, 36)",6,CONTAINED
"(5, 37)",6,CONTAINED
"(5, 38)",6,CONTAINED
"(5, 39)",4,CONTAINED
"(5, 40)",10,CONTAINED
"(6, 7)",12,CONTAINED
"(6, 8)",5,CONTAINED
"(6, 9)",5,CONTAINED
"(6, 10)",5,CONTAINED
"(6, 11)",5,CONTAINED
"(6, 12)",5,CONTAINED
"(6, 13)",5,CONTAINED
"(6, 14)",5,CONTAINED
"(6, 15)",10,CONTAINED
"(6, 16)",5,CONTAINED
"(6, 17)",5,CONTAINED
